Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,S121577 (FW 3.022) (125 Hz),M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz)
Legacy RMS
K-Move (S121578) Quaternion de base (x-y-z-w),-0.576,-0.184,0.255,0.755
K-Move (S121577) Quaternion de base (x-y-z-w),-0.385,0.520,-0.705,0.289
,K-Move (S121578),,,,,K-Move (S121577),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0.368,-0.576647252929827,-0.183690913754148,0.242591638716020,0.758171352449627,,-0.404435594780499,0.518514998137691,-0.695737870073275,0.288860768532857,
0.376,-0.576617849873475,-0.183599713392549,0.242622626574263,0.758203337686917,,-0.404584688972211,0.518510512607518,-0.695579258584494,0.289071899671478,
0.384,-0.576614716737017,-0.183446123759194,0.242590789845589,0.758260254686564,,-0.404796203509916,0.518446766075577,-0.695423031467164,0.289284017873228,
0.392,-0.576581590069653,-0.183292702586055,0.242528655919310,0.758348379380766,,-0.405011961784582,0.518357936169928,-0.695304613468324,0.289407613111536,
0.4,-0.576551903049780,-0.183201411920804,0.242467968967314,0.758410509352641,,-0.405160950114182,0.518292288022684,-0.695267909423116,0.289435556710071,
0.408,-0.576519510783043,-0.183200816432725,0.242375626205014,0.758469080593455,,-0.405251397236100,0.518229834811824,-0.695266008873623,0.289434765523547,
0.416,-0.576488950693029,-0.183292357748138,0.242284053973105,0.758499543701670,,-0.405287608484459,0.518176077142893,-0.695275775338324,0.289408312594738,
0.424,-0.576488374042524,-0.183383728937084,0.242222775266041,0.758498784989565,,-0.405320614932413,0.518148738824073,-0.695280042872543,0.289379570121914,
0.432,-0.576485664237854,-0.183474421037479,0.242191118654929,0.758495219638307,,-0.405349001414975,0.518176531774196,-0.695276385351300,0.289317010496459,
0.44,-0.576487492962551,-0.183566557446784,0.242191886932282,0.758467107601815,,-0.405286218988108,0.518265856239160,-0.695303910181179,0.289193690597237,
0.448,-0.576523053597813,-0.183629199804036,0.242194005259237,0.758412704724962,,-0.405161687842073,0.518384786809691,-0.695360730452066,0.289039345100352,
0.456,-0.576612735594299,-0.183628603264047,0.242193218464928,0.758349204339088,,-0.405040717479404,0.518508272300713,-0.695423661030980,0.288826503181516,
0.464,-0.576705644045340,-0.183567997509272,0.242193786905002,0.758289947483440,,-0.405011279015685,0.518601210482522,-0.695456033924304,0.288613643708186,
0.472,-0.576738858954155,-0.183507818758140,0.242225437798663,0.758262974366332,,-0.405039284333873,0.518659029328976,-0.695482237091971,0.288428742935461,
0.48,-0.576736209685338,-0.183476457436144,0.242285361873844,0.758259491260551,,-0.405068705192712,0.518688142353298,-0.695510871042108,0.288275370244131,
0.488,-0.576734077190122,-0.183475779027781,0.242314984278208,0.758256687578885,,-0.405037794240806,0.518718157678645,-0.695571233147714,0.288122499655474,
0.496,-0.576736727503866,-0.183507140569412,0.242255061007815,0.758260172058475,,-0.404945119450681,0.518777759103333,-0.695660863507294,0.287938593866695,
0.504,-0.576772523822086,-0.183600375856589,0.242135203132675,0.758236592113854,,-0.404915971777204,0.518810033178510,-0.695724254492381,0.287756458990598,
0.512,-0.576857064654138,-0.183689698029481,0.242040703617182,0.758196852939763,,-0.404949609852664,0.518814030258142,-0.695790651520904,0.287514528180115,
0.52,-0.576942701286498,-0.183718331750580,0.241977184792417,0.758158557421871,,-0.405044246273726,0.518787457987272,-0.695856981561726,0.287242046860180,
0.528,-0.576982001603794,-0.183751646654842,0.241950349556484,0.758109060712993,,-0.405162579158589,0.518752148277922,-0.695942110208832,0.286964728218455,
0.536,-0.577017553028801,-0.183814286872189,0.241952459957282,0.758054635832358,,-0.405219802281291,0.518716747957155,-0.696088151094590,0.286626327988092,
0.544,-0.577073995561506,-0.183873860238938,0.241920014956690,0.758018081429831,,-0.405165616546812,0.518664481260401,-0.696283032654077,0.286264950527953,
0.552,-0.577134694958539,-0.183934789620597,0.241828318060994,0.757987119596278,,-0.405047182856225,0.518669143508253,-0.696472405060421,0.285931815565097,
0.56,-0.577195388371319,-0.183995717045983,0.241736618796025,0.757956150033844,,-0.404951761949435,0.518694712946913,-0.696648871054318,0.285623900827851,
0.568,-0.577253948899678,-0.184055964357069,0.241674545140711,0.757922380170420,,-0.404946888664807,0.518688470852894,-0.696762560487316,0.285406835691708,
0.576,-0.577318674675347,-0.184087659017904,0.241645570972110,0.757866186404445,,-0.405098667309558,0.518626393872128,-0.696761162674741,0.285314708503620,
0.584,-0.577382892034349,-0.184088673013965,0.241646902010042,0.757809323542731,,-0.405345975106351,0.518508365988323,-0.696705561338872,0.285286415848078,
0.592,-0.577440430870507,-0.184087557687802,0.241645437959551,0.757774213757977,,-0.405621279939751,0.518387108649207,-0.696645621637552,0.285256346670443,
0.6,-0.577500097365011,-0.184087120821527,0.241614346078254,0.757741897028793,,-0.405835457843796,0.518265735080715,-0.696646563107260,0.285165176574856,
0.608,-0.577560268150731,-0.184117363157377,0.241552947023146,0.757710242411961,,-0.405864660510606,0.518172499496923,-0.696766378232773,0.285011659862287,
0.616,-0.577615566894923,-0.184237606453461,0.241489511324538,0.757672197353002,,-0.405742306750125,0.518141623467741,-0.696949007841489,0.284797834267932,
0.624,-0.577675908995378,-0.184389975283960,0.241428185116088,0.757610250980520,,-0.405530148622703,0.518143502657755,-0.697165165196946,0.284554718976376,
0.632,-0.577739494487105,-0.184482343467041,0.241368214140749,0.757552557796915,,-0.405283078801648,0.518139767461926,-0.697434804205878,0.284278002939560,
0.64,-0.577770471667435,-0.184543526419448,0.241337887700511,0.757522641439313,,-0.404944720428402,0.518197403939579,-0.697735409085429,0.283940438530850,
0.648,-0.577770471667435,-0.184543526419448,0.241337887700511,0.757522641439313,,-0.404609958099504,0.518290158274542,-0.697981169987461,0.283635914208538,
0.656,-0.577802904039222,-0.184452582898276,0.241308168924002,0.757525151009431,,-0.404457357056021,0.518320663415035,-0.698133743304425,0.283422279859599,
0.664,-0.577862381463877,-0.184330012360275,0.241276999622572,0.757523107087211,,-0.404457482118810,0.518320823685646,-0.698194995541699,0.283269776580910,
0.672,-0.577924780759695,-0.184238892192337,0.241277568605700,0.757494375203907,,-0.404549990303496,0.518291527257414,-0.698196641382272,0.283178889561417,
0.68,-0.577983927850935,-0.184207771714887,0.241276779850546,0.757461380709658,,-0.404641087551339,0.518199386576796,-0.698226370170231,0.283148051157804,
0.688,-0.578016028761305,-0.184208276114215,0.241277440516730,0.757432936527287,,-0.404643810821566,0.518111318826286,-0.698292106147391,0.283119438343138,
0.696,-0.578050257527964,-0.184209458552283,0.241248470817726,0.757407280044823,,-0.404522290580700,0.518112027701890,-0.698384616948227,0.283058788769219,
0.704,-0.578073251308504,-0.184207060759061,0.241184294429897,0.757427939194687,,-0.404277149918401,0.518171791987962,-0.698535493657604,0.282936019996489,
0.712,-0.578077505712985,-0.184208416454629,0.241125032870779,0.757433513583074,,-0.403973367145984,0.518234626237512,-0.698721027484120,0.282784408852057,
0.72,-0.578145458386611,-0.184180101423311,0.241097398714856,0.757381537203365,,-0.403670664322538,0.518329368931276,-0.698877917364945,0.282633554267107,
0.728,-0.578239948475997,-0.184089479559150,0.241098622101672,0.757324342715567,,-0.403458897755432,0.518423320436575,-0.698972703123499,0.282512784910895,
0.736,-0.578301831211576,-0.183967673151268,0.241129493292663,0.757294930586525,,-0.403394507178921,0.518449530031435,-0.699027930619851,0.282449399602127,
0.744,-0.578354896515574,-0.183843063511679,0.241187206330145,0.757284491696346,,-0.403360716039952,0.518475842082375,-0.699052777605443,0.282416589712773,
0.752,-0.578382540504213,-0.183720076711448,0.241247044253155,0.757280728159114,,-0.403267661706421,0.518534950813818,-0.699080696738987,0.282385021474914,
0.76,-0.578385273814712,-0.183629389644530,0.241278702763778,0.757284306903666,,-0.403053025176349,0.518594688939327,-0.699201019142524,0.282292760118212,
0.768,-0.578386385142222,-0.183568705499708,0.241309684852235,0.757285761973359,,-0.402595047280162,0.518747014377516,-0.699414288475345,0.282140025174735,
0.776,-0.578385874997388,-0.183538025128445,0.241339990474849,0.757285094036787,,-0.401986358779044,0.518993320482570,-0.699661346900118,0.281927572304950,
0.784,-0.578412908488205,-0.183506401030949,0.241338536396598,0.757280531379007,,-0.401406720684085,0.519268254576119,-0.699875338359926,0.281714090978087,
0.792,-0.578475276349251,-0.183415268312266,0.241339091815873,0.757251755845633,,-0.400916297110225,0.519540156961595,-0.700024208199311,0.281560002827049,
0.8,-0.578562538884510,-0.183291835032196,0.241367819392214,0.757215619516957,,-0.400551281134001,0.519755342399480,-0.700117862132962,0.281438774447067,
0.808,-0.578654645654569,-0.183078382958798,0.241398567962009,0.757185824235827,,-0.400398479472746,0.519907659778789,-0.700117493718314,0.281377589995329,
0.816,-0.578722939068764,-0.182836530504718,0.241432113640932,0.757164800838265,,-0.400459382302551,0.519968522761078,-0.700025705780820,0.281408014343227,
0.824,-0.578808325343006,-0.182620954278844,0.241460058531787,0.757156730557840,,-0.400613405898622,0.519970382395119,-0.699906136274777,0.281470057332444,
0.832,-0.578894212348995,-0.182436058907812,0.241457694559821,0.757149317748883,,-0.400797210617075,0.519971284131099,-0.699785276741760,0.281501063788312,
0.84,-0.578932749070042,-0.182316512543196,0.241461039042814,0.757129286857073,,-0.400920857090214,0.520003842883471,-0.699696467268580,0.281471649915738,
0.848,-0.578965116423871,-0.182225539516469,0.241431291762650,0.757131704884287,,-0.400985811690148,0.520039442210222,-0.699642266001723,0.281413362477727,
0.856,-0.578994261897269,-0.182194589053695,0.241400200906989,0.757129909519784,,-0.401076270412226,0.520068537824892,-0.699609832820717,0.281321036422150,
0.864,-0.579028486804653,-0.182195755348325,0.241371227646550,0.757104237635051,,-0.401226033353336,0.520064869124074,-0.699574379140376,0.281227496565832,
0.872,-0.579087298009282,-0.182164536591167,0.241278744561865,0.757101327484282,,-0.401468641143951,0.519971319483895,-0.699510659343253,0.281226417950704,
0.88,-0.579122312732762,-0.182104913579068,0.241189061842697,0.757107205642620,,-0.401804698299297,0.519758151050837,-0.699450241555642,0.281287703495718,
0.888,-0.579150112223646,-0.182012502993193,0.241126892379145,0.757134169476548,,-0.402174881601548,0.519458086184546,-0.699396096650681,0.281412549950514,
0.896,-0.579206521796328,-0.181858457420534,0.241063929378218,0.757158638799035,,-0.402599740726374,0.519088765161833,-0.699361405282413,0.281593981783070,
0.904,-0.579272826212161,-0.181646481303134,0.241005084484349,0.757165524383526,,-0.403021672247216,0.518685168977259,-0.699352161231047,0.281803886228290,
